link,account,timestamp,tweetText,reply,retweet,like
@young8uddha,https://twitter.com/young8uddha/status/1456044617321824257,2021-11-03T23:44:23.000Z,Bout to go ape   @BoredApeYC  #bayc,0,0,5
@hotlneblng_,https://twitter.com/hotlneblng_/status/1456044465072783370,2021-11-03T23:43:47.000Z,"Wow.  Hats off to  @BoredApeYC . Have fun tonight apes, I can’t wait to see what comes next.   #ApeFest ",0,1,7
@carsonturner,https://twitter.com/carsonturner/status/1456044110641565699,2021-11-03T23:42:22.000Z,So much fun is being had in this  @BoredApeYC  line with  @cr0ssETH  @JamieGeorge93  @nftsupply  @harrislipton93  @allysonloveraa  Can’t wait to get in!! #BAYC,7,4,45
@TLoftonJr,https://twitter.com/TLoftonJr/status/1456043883561881607,2021-11-03T23:41:28.000Z,It’s so real right now,1,0,5
@RichVagner,https://twitter.com/RichVagner/status/1456043845452369928,2021-11-03T23:41:19.000Z,"Lfg just got in ",0,0,7
@BoredOhms,https://twitter.com/BoredOhms/status/1456043817241649154,2021-11-03T23:41:12.000Z,How fucking SICK is this?!?  @BoredApeYC  LOVE YOU ALL!  #BAYC,1,2,19
@arielrkaz,https://twitter.com/arielrkaz/status/1456043802196529154,2021-11-03T23:41:09.000Z,"@BoredApeYC ,  @richthekid   is buying #nfts with money he stole from many of us. Don't welcome him in the #NFTCommunity. Rug-pullers like him should be shamed. https://twitter.com/richthekid/status/1456025413390675970…",1,2,7
@BitBenderBrink,https://twitter.com/BitBenderBrink/status/1456043792264466432,2021-11-03T23:41:06.000Z,Hanging out with the degens from  @BoredApeYC  at  @brooklynsteel . Come say hi!,1,1,26
@TLoftonJr,https://twitter.com/TLoftonJr/status/1456043758802325507,2021-11-03T23:40:58.000Z,Had me dead!!! That’s the sign from the 24/7 music stream!,0,0,6
@OB_Allez,https://twitter.com/OB_Allez/status/1456043533207486470,2021-11-03T23:40:04.000Z,"Okay, NOW I'm really feeling the Ape Fest FOMO",1,0,10
@TimpersHD,https://twitter.com/TimpersHD/status/1456043528400814080,2021-11-03T23:40:03.000Z,"fomo ",1,0,5
@BoredCoffee_,https://twitter.com/BoredCoffee_/status/1456043438932115466,2021-11-03T23:39:42.000Z,That fomo neon sign . That's me right now,1,0,8
@cryptosheep_eth,https://twitter.com/cryptosheep_eth/status/1456043375614902286,2021-11-03T23:39:27.000Z,=  @silence2083,0,0,5
@GoodAtPolitics,https://twitter.com/GoodAtPolitics/status/1456043342719029251,2021-11-03T23:39:19.000Z,Ok but wen shrek,0,0,5
@mnx0512,https://twitter.com/mnx0512/status/1456043252931604480,2021-11-03T23:38:58.000Z,"Lesgo @TheHumanoidsNFT ",0,0,15
@TLoftonJr,https://twitter.com/TLoftonJr/status/1456043153774022672,2021-11-03T23:38:34.000Z,This one gave me fomo HARD!,1,0,7
@0xmethodic,https://twitter.com/0xmethodic/status/1456043090867744773,2021-11-03T23:38:19.000Z,Did we really get called out?,1,0,4
@Frankie64822419,https://twitter.com/Frankie64822419/status/1456043070403727362,2021-11-03T23:38:14.000Z,Holy shit!! Rad!! Have an amazing time!,0,0,5
@Cashtronaut_eth,https://twitter.com/Cashtronaut_eth/status/1456042720946888709,2021-11-03T23:36:51.000Z,Sooooo much fomo!!!! Let’s hope the next Ape Fest is in LA! #BAYC  @BoredApeYC,6,1,15
