link,account,timestamp,tweetText,reply,retweet,like
https://twitter.com/squashman2147/status/1422687666324209668,@squashman2147,2021-08-03T22:35:46.000Z,"@BoredApeYC  As if today couldn’t get any sweeter, my Skate Bored came in! Huge s/o to  @woundedpixel     Can’t wait to hang this up, though it is an 8.25 which is my size.  Might need another one to skate.   #BAYC",12,6,72
https://twitter.com/dearearth_/status/1422686386658873362,@dearearth_,2021-08-03T22:30:41.000Z,"iwwon FLIPPED BoredApeYC #8590   Bought @ 1 ETH ($2,777/ETH)  Sold @ 33 ETH ($2,608/ETH)  HODL Duration: 3 months 2 days  PROFIT: $83,287 ( +2999.17%)",0,2,6
https://twitter.com/BigM33sh/status/1422684037466836992,@BigM33sh,2021-08-03T22:21:21.000Z,"If you are priced out of  @BoredApeYC , you may want to consider grabbing a #BAKC doggo. The newcomers haven't realized their potential yet and are spending 10 ETH for an ape. In my opinion, doggo floor seems very likely to rise.  #BAYC #NFTs",0,1,11
https://twitter.com/CryptoStamina/status/1422682448178016258,@CryptoStamina,2021-08-03T22:15:02.000Z,"The  @TheSandboxGame  is going to be truly wild. W/ the  @CyberKongz  &  @BoredApeYC  entries, this  @WickedCraniums  preview puts it over the top for me.",10,47,215
https://twitter.com/jeffjag/status/1422681511229222914,@jeffjag,2021-08-03T22:11:19.000Z,"Have you seen my http://yeticomic.com ? I know you’re super busy with 0n1 but I’ve got two more commissions lined up already. Let me know if you’re interested. ",1,0,5
https://twitter.com/MrCNFT/status/1422681318626840577,@MrCNFT,2021-08-03T22:10:33.000Z,"TDBC ",0,0,5
https://twitter.com/EsGowens/status/1422680824151949316,@EsGowens,2021-08-03T22:08:35.000Z,Top Dog  @TopDogBeachClub,0,0,5
https://twitter.com/nfttank/status/1422679454254575627,@nfttank,2021-08-03T22:03:08.000Z,"Bad News Mullen and his strange cousin, Ladies and Gentlemen.  https://opensea.io/-Tank-/boredapeyachtclub… @BoredApeYC  #BAYC #BoredApeYachtClub",1,0,11
https://twitter.com/ergen_art/status/1422679427452911618,@ergen_art,2021-08-03T22:03:02.000Z,. @BoredApeYC  floor now at 10ETH sigh,3,13,68
https://twitter.com/AnoNakamigo/status/1422676363140501510,@AnoNakamigo,2021-08-03T21:50:51.000Z,Bored Ape Yacht Club Floor… SHEESH!  @BoredApeYC  #BoredApeYachtClub #BoredApes #BAYC,3,3,47
https://twitter.com/daddio/status/1422676287387226114,@daddio,2021-08-03T21:50:33.000Z,Quick update on the  @BoredApeYC  street mural. Here's some of the artist's work. There's still time to add your ape or dog.  https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/29837936352901908229937151855575138121957302237064034158564829411447534518372…,9,6,9
https://twitter.com/Almajaguar/status/1422675702034440193,@Almajaguar,2021-08-03T21:48:14.000Z,Great buy at 9.99 ETH I love the silverback zombie vibe. Will be a great ape for the mutant arcade!  @BoredApeYC,3,1,34
https://twitter.com/fxnction/status/1422675021265264644,@fxnction,2021-08-03T21:45:31.000Z,Holy fuck the  @BoredApeYC  floor is almost 10 ETH,0,3,14
https://twitter.com/JRNYcrypto/status/1422675010934566912,@JRNYcrypto,2021-08-03T21:45:29.000Z,"The  @BoredApeYC  price floor is just about to hit 10 ETH ",86,37,552
https://twitter.com/BAYC2745/status/1422673548573777922,@BAYC2745,2021-08-03T21:39:40.000Z,Check  @BoredApeYC  floor price on  @opensea . That’s it.,1,0,4
https://twitter.com/nftblondie/status/1422673416939843588,@nftblondie,2021-08-03T21:39:09.000Z,Meanwhile:  @BoredApeYC  @cryptopunksbot  @MeebitsDAO  are being featured in  @ChristiesInc  soon.  The best is yet to come ahahah   Follow + Like + Retweet =   #DigitalArt #CryptoArt #NftBlondie #Nftart #Nfts #NFT #NFTcommunity,0,2,12
https://twitter.com/hunter_nft/status/1422673221787205632,@hunter_nft,2021-08-03T21:38:22.000Z,so long Faux Hawk #2950  someone snagged my 10 $ETH ask always a good but semi-somber day when an ape sells   Down to 10 left #BAYC #BAKC  @BoredApeYC,3,1,23
https://twitter.com/Deanik_k/status/1422670398529888257,@Deanik_k,2021-08-03T21:27:09.000Z,"@BoredApeYC  X  @ChristiesInc  ",0,0,15
https://twitter.com/DaraSensei/status/1422669151924064262,@DaraSensei,2021-08-03T21:22:12.000Z,My  @bored_bananas  142 with  @BoredApeYC  ape 1604 on it. Rank 16 of the #boredbananas ! I love it !,2,9,17
https://twitter.com/DanielitoG25/status/1422665428745269248,@DanielitoG25,2021-08-03T21:07:24.000Z,Turned $200 into $24k thanks to a tip from my buddy  @themariokarters  the night of the  @BoredApeYC  drop  Still have one ape that I'm diamond handing for the foreseeable future but wow... what a ride it has been https://twitter.com/boredapebot/status/1422663302530977796…,21,10,137
https://twitter.com/K3n_eth/status/1422665092659916803,@K3n_eth,2021-08-03T21:06:04.000Z,10 eth floor before merch and mutant news I’m very bullish on  @BoredApeYC,0,1,15
https://twitter.com/Strawberrywtf/status/1422664657123217412,@Strawberrywtf,2021-08-03T21:04:20.000Z,"Every time someone asks me if there will be a breeding mechanic on the roadmap...   Now, the real question is  @JRArtSpace_NFT  when will our  @BoredApeYC  fall in love?",4,4,35
https://twitter.com/billydecrypt/status/1422661815197212677,@billydecrypt,2021-08-03T20:53:03.000Z,@TopDogBeachClub,0,0,5
https://twitter.com/Harrisonds97/status/1422661688684335106,@Harrisonds97,2021-08-03T20:52:33.000Z,Got so excited about the  @cryptobabypunks  run today that I almost didn’t realize that the  @BoredApeYC  floor is 9.3ETH  WE GONNA MAKE IT,0,0,8
https://twitter.com/paxel_ux/status/1422660139157495809,@paxel_ux,2021-08-03T20:46:23.000Z,@TopDogBeachClub  let's gooooo,0,0,5
https://twitter.com/BoredDerek/status/1422659520958894082,@BoredDerek,2021-08-03T20:43:56.000Z,"All great options, but I would vote for:  @TopDogBeachClub",0,0,6
https://twitter.com/RoninDaCC/status/1422659209930346501,@RoninDaCC,2021-08-03T20:42:42.000Z,"I made a mistake selling 4/6 of my apes early.   Today I decided to make sure I had no more  @BoredApeYC  regrets and I delisted the only ape I have left that I will sell, and he was listed @ 65ETH.   That's not going to cut it.",7,1,27
