link,account,timestamp,tweetText,reply,retweet,like
https://twitter.com/Harrisonds97/status/1501707966919372800,@Harrisonds97,2022-03-09T23:54:14.000Z,An NYC Double Merch Ape found himself down in Florida    #BAYC  @BoredApeYC  #MAYC ,43,23,232
https://twitter.com/TheeHustleHouse/status/1501707063944114176,@TheeHustleHouse,2022-03-09T23:50:39.000Z,Hit me with a follow!,0,0,5
https://twitter.com/dubbs_24/status/1501707060479774723,@dubbs_24,2022-03-09T23:50:38.000Z, ,0,0,7
https://twitter.com/dubbs_24/status/1501707032377892864,@dubbs_24,2022-03-09T23:50:31.000Z, ,0,0,8
https://twitter.com/long/status/1501706217810448386,@long,2022-03-09T23:47:17.000Z,Amazing ,2,0,9
https://twitter.com/AndrewScottmor3/status/1501705797922926593,@AndrewScottmor3,2022-03-09T23:45:37.000Z,"Question, when the #PlayToEarn #vflect game goes live on @TerraVirtuaHQ what #vflect are you going to use?  @BoredApeYC  #Elvis  @TheHashmasks  @DynamiteComics  or one of the other ones? Everyone is first going want the #BAYC ones I think! #nft #NFTs #NFTCommunity $TVK",3,4,21
https://twitter.com/ryanfreedman_/status/1501705590975827969,@ryanfreedman_,2022-03-09T23:44:47.000Z,For #InternationalWomensDay I surprised my wife with this 1/1 Collab:  @Goyard  X  @BoredApeYC  #BAYC,7,2,42
https://twitter.com/praise_pals/status/1501705395873595392,@praise_pals,2022-03-09T23:44:01.000Z,Check us out,3,1,11
https://twitter.com/0xEvol/status/1501705017455255552,@0xEvol,2022-03-09T23:42:31.000Z,Congrats ,1,0,6
https://twitter.com/lyg_eth/status/1501704683320233984,@lyg_eth,2022-03-09T23:41:11.000Z,My lovely girlfriend got me an embroidered mutant sweatshirt so I can drip through the dip.  @BoredApeYC  #MAYC  @beahavein,6,2,13
https://twitter.com/BIG_CryptoLord/status/1501704468609515524,@BIG_CryptoLord,2022-03-09T23:40:20.000Z,Hands down you have the best collection!,0,0,5
https://twitter.com/GREAT_ZARO/status/1501701861136547842,@GREAT_ZARO,2022-03-09T23:29:58.000Z, ,0,0,5
https://twitter.com/overhau1x/status/1501701671595827200,@overhau1x,2022-03-09T23:29:13.000Z,FUD!,0,0,5
https://twitter.com/Arashiko_eth/status/1501701519980257284,@Arashiko_eth,2022-03-09T23:28:37.000Z,Sunnies are fire,0,1,3
https://twitter.com/claytoshi/status/1501700335861071873,@claytoshi,2022-03-09T23:23:54.000Z,FUD?,0,0,9
https://twitter.com/The720_Way/status/1501698648173858824,@The720_Way,2022-03-09T23:17:12.000Z,@EthereumHomies  @EthHomies  is the project you should get into,1,1,5
https://twitter.com/captain_jacketh/status/1501698103434530818,@captain_jacketh,2022-03-09T23:15:02.000Z,Congrats! I would suggest  @DegenToonz  for the art & community. Apes  Toonz,0,0,5
https://twitter.com/alfalfapod/status/1501697322874515465,@alfalfapod,2022-03-09T23:11:56.000Z,The perfect NFT is priceless. Do you agree?  #BoredApeYC #NFTCommunity #NFTCollection #podcast,0,1,5
https://twitter.com/n_whales/status/1501696662191976454,@n_whales,2022-03-09T23:09:19.000Z,All monks are legends  you’re the only NFT project I’ll shill. The people need to know about the epicness of your work and this booming community ,1,0,4
https://twitter.com/botrocket_io/status/1501695840582209538,@botrocket_io,2022-03-09T23:06:03.000Z,Bored Ape Yacht Club recent sales stats.  #NFT #BAYC #BoredApeYC #NFTCommunity #NFTProject #NFTdrop #NFTCollection #NFTartist,0,2,4
https://twitter.com/BRZOMBIENFT/status/1501695666703286273,@BRZOMBIENFT,2022-03-09T23:05:21.000Z,I think  @quirkiesnft  will be up there too ,1,1,11
https://twitter.com/ItzWhiskerz/status/1501691827195461634,@ItzWhiskerz,2022-03-09T22:50:06.000Z,,0,0,4
https://twitter.com/LeonardHohenfo1/status/1501691560123158532,@LeonardHohenfo1,2022-03-09T22:49:02.000Z,"Best #cnft imo  @fudbuddies  , just convince yourself",0,0,5
https://twitter.com/Spvce/status/1501690699904786432,@Spvce,2022-03-09T22:45:37.000Z,@thesunniesnft,2,0,13
https://twitter.com/kobrakao/status/1501690604593446915,@kobrakao,2022-03-09T22:45:14.000Z,I love that ape!  Welcome a-bored!,1,0,14
https://twitter.com/stapeskidotcom/status/1501689364950171649,@stapeskidotcom,2022-03-09T22:40:19.000Z,"Amazing community, come check it out!!",9,4,29
https://twitter.com/ZachBlitz8/status/1501689210901864450,@ZachBlitz8,2022-03-09T22:39:42.000Z,Ratio’d the f out of me. Props,1,0,6
https://twitter.com/NFTFestAus/status/1501687575316398081,@NFTFestAus,2022-03-09T22:33:12.000Z,F**k it. $Steve... Wednesday?   Happy to announce  @NFTeams_  founder & crypto twitter prankster  @day25  will be joining us  @marvelstadiumau  on 23 Mar!  Now is your chance to right click save his gold  @BoredApeYC Welcome to Australian Blockchain Week Steve and the NFTeams community,5,11,74
https://twitter.com/CapetainTrippy/status/1501686420129394701,@CapetainTrippy,2022-03-09T22:28:37.000Z,Love the symbolism here.,1,0,8
https://twitter.com/knuxponential/status/1501684972339429376,@knuxponential,2022-03-09T22:22:52.000Z,Yeah pls talk to Jeff ^,0,0,5
https://twitter.com/WILLDCRYPTO/status/1501684526690586625,@WILLDCRYPTO,2022-03-09T22:21:05.000Z,"Insane shoe collection, what’s your favourite shoe? Congrats on the success ",1,0,4
https://twitter.com/belk_tre/status/1501684503806615553,@belk_tre,2022-03-09T22:21:00.000Z,,0,0,4
https://twitter.com/nukeyeth/status/1501684129011744769,@nukeyeth,2022-03-09T22:19:30.000Z,Beautiful ape! ,1,0,5
https://twitter.com/niccio92/status/1501684085609181188,@niccio92,2022-03-09T22:19:20.000Z,@Cosmodinos  &  @DumpsterDorks,0,1,7
https://twitter.com/harmonyprotocol/status/1501683466697650182,@harmonyprotocol,2022-03-09T22:16:53.000Z,"13/ At #ETHDenver, the team launched the cross-chain NFT Passport feature, through which  @BoredApeYC  owners could use their apes as their in-game PFP in DeFi-Kingdoms and earn $JEWEL from  @DefiKingdoms  as rewards.",2,3,21
https://twitter.com/cryptofanmaneth/status/1501682599743614983,@cryptofanmaneth,2022-03-09T22:13:26.000Z, ,0,0,6
