link,account,timestamp,tweetText,reply,retweet,like
https://twitter.com/young8uddha/status/1456044617321824257,@young8uddha,2021-11-03T23:44:23.000Z,Bout to go ape   @BoredApeYC  #bayc,0,0,5
https://twitter.com/hotlneblng_/status/1456044465072783370,@hotlneblng_,2021-11-03T23:43:47.000Z,"Wow.  Hats off to  @BoredApeYC . Have fun tonight apes, I can’t wait to see what comes next.   #ApeFest ",0,1,7
https://twitter.com/carsonturner/status/1456044110641565699,@carsonturner,2021-11-03T23:42:22.000Z,So much fun is being had in this  @BoredApeYC  line with  @cr0ssETH  @JamieGeorge93  @nftsupply  @harrislipton93  @allysonloveraa  Can’t wait to get in!! #BAYC,7,4,45
https://twitter.com/TLoftonJr/status/1456043883561881607,@TLoftonJr,2021-11-03T23:41:28.000Z,It’s so real right now,1,0,5
https://twitter.com/RichVagner/status/1456043845452369928,@RichVagner,2021-11-03T23:41:19.000Z,"Lfg just got in ",0,0,7
https://twitter.com/BoredOhms/status/1456043817241649154,@BoredOhms,2021-11-03T23:41:12.000Z,How fucking SICK is this?!?  @BoredApeYC  LOVE YOU ALL!  #BAYC,1,2,19
https://twitter.com/arielrkaz/status/1456043802196529154,@arielrkaz,2021-11-03T23:41:09.000Z,"@BoredApeYC ,  @richthekid   is buying #nfts with money he stole from many of us. Don't welcome him in the #NFTCommunity. Rug-pullers like him should be shamed. https://twitter.com/richthekid/status/1456025413390675970…",1,2,7
https://twitter.com/BitBenderBrink/status/1456043792264466432,@BitBenderBrink,2021-11-03T23:41:06.000Z,Hanging out with the degens from  @BoredApeYC  at  @brooklynsteel . Come say hi!,1,1,26
https://twitter.com/OB_Allez/status/1456043533207486470,@OB_Allez,2021-11-03T23:40:04.000Z,"Okay, NOW I'm really feeling the Ape Fest FOMO",1,0,10
https://twitter.com/TimpersHD/status/1456043528400814080,@TimpersHD,2021-11-03T23:40:03.000Z,"fomo ",1,0,5
https://twitter.com/BoredCoffee_/status/1456043438932115466,@BoredCoffee_,2021-11-03T23:39:42.000Z,That fomo neon sign . That's me right now,1,0,8
https://twitter.com/cryptosheep_eth/status/1456043375614902286,@cryptosheep_eth,2021-11-03T23:39:27.000Z,=  @silence2083,0,0,5
https://twitter.com/GoodAtPolitics/status/1456043342719029251,@GoodAtPolitics,2021-11-03T23:39:19.000Z,Ok but wen shrek,0,0,5
https://twitter.com/mnx0512/status/1456043252931604480,@mnx0512,2021-11-03T23:38:58.000Z,"Lesgo @TheHumanoidsNFT ",0,0,15
https://twitter.com/0xmethodic/status/1456043090867744773,@0xmethodic,2021-11-03T23:38:19.000Z,Did we really get called out?,1,0,4
https://twitter.com/Frankie64822419/status/1456043070403727362,@Frankie64822419,2021-11-03T23:38:14.000Z,Holy shit!! Rad!! Have an amazing time!,0,0,5
https://twitter.com/Cashtronaut_eth/status/1456042720946888709,@Cashtronaut_eth,2021-11-03T23:36:51.000Z,Sooooo much fomo!!!! Let’s hope the next Ape Fest is in LA! #BAYC  @BoredApeYC,6,1,15
https://twitter.com/kbometaverse/status/1456042706669502471,@kbometaverse,2021-11-03T23:36:47.000Z,Why doesn't some photoshop some diversity into those  @BoredApeYC  events. We got any digital artists here? #SausageFestNYC,5,1,6
https://twitter.com/nftjgn/status/1456042509222694925,@nftjgn,2021-11-03T23:36:00.000Z,I can’t believe these guys actually pulled off the swamp!! You guys are amazing!  @BoredApeYC  #apefest,65,149,801
https://twitter.com/dragaan_v1/status/1456042119337021445,@dragaan_v1,2021-11-03T23:34:27.000Z,For a sec I thought I was being tagged in another push-up challenge thread,3,0,12
